W1,L1,W3,L3,W5,L5,W6,L6,W7,L7,IB,CC,total_area,slew_rate,total_power
7.195u,453.706n,22.073u,519.793n,6.793u,455.158n,268.646u,501.871n,93.515u,354.825n,19.583u,0.836p,1.85836790394e-10,23424641.1483,0.000371840052185
15.495u,373.402n,7.819u,472.910n,9.084u,252.212n,201.469u,294.101n,133.627u,188.658n,18.670u,1.126p,9.6236678023e-11,16580817.0515,0.000933363677972
6.333u,260.827n,4.677u,439.828n,17.624u,412.578n,273.799u,194.856n,57.561u,407.342n,29.702u,2.293p,8.7778558425e-11,12953336.2407,0.000430091637396
6.875u,357.779n,6.399u,500.524n,17.411u,362.286n,178.565u,278.056n,42.918u,503.637n,22.557u,1.580p,None,None,None
16.496u,434.632n,18.821u,406.369n,16.284u,344.183n,305.410u,293.392n,140.379u,307.283n,23.651u,1.260p,1.5316356737e-10,18770634.9206,0.000692870879581
3.179u,295.265n,24.396u,436.897n,2.378u,390.352n,265.431u,348.820n,128.761u,471.128n,29.419u,1.056p,1.65775997531e-10,27858901.5152,0.000632971297373
18.217u,398.864n,25.936u,285.492n,8.076u,182.188n,72.150u,494.844n,130.294u,457.284n,13.591u,2.490p,1.11426332384e-10,5458232.93173,7.04068142756e-05
21.594u,353.835n,12.827u,477.302n,15.419u,351.612n,270.955u,456.581n,139.785u,493.093n,15.502u,0.949p,2.11824481032e-10,16335089.568,0.000372523476112
7.491u,425.271n,4.647u,305.153n,6.057u,417.378n,148.614u,319.666n,31.629u,468.029n,23.772u,2.488p,6.9441941763e-11,9554662.37942,0.000453381226261
18.983u,231.632n,18.015u,261.113n,11.116u,371.797n,92.589u,224.694n,27.562u,181.258n,24.393u,2.278p,3.9033942165e-11,10708077.2608,0.000242285234732
7.518u,280.891n,17.932u,471.663n,22.420u,372.983n,175.806u,339.254n,72.472u,321.941n,13.976u,2.240p,1.0190647519e-10,6239285.71429,0.000220972200841
6.432u,500.839n,14.977u,471.149n,16.177u,216.300n,200.458u,202.159n,28.607u,206.945n,21.979u,1.333p,6.0221344558e-11,16488372.093,0.000210358119793
10.228u,512.795n,13.397u,460.592n,6.997u,201.509n,263.725u,213.435n,70.192u,388.593n,29.638u,2.636p,9.6389641988e-11,11243550.8346,0.000615253730122
2.183u,448.381n,16.121u,370.480n,5.559u,253.418n,162.981u,499.103n,21.117u,467.259n,27.729u,1.636p,9.9571488811e-11,16949266.5037,0.000289886975802
11.330u,398.789n,23.998u,242.310n,5.954u,473.404n,276.304u,460.658n,66.179u,417.303n,23.422u,0.922p,1.68050225435e-10,25403470.7158,0.000254185898874
21.885u,238.163n,21.157u,187.014n,2.640u,289.991n,207.412u,344.023n,84.463u,386.408n,27.490u,0.952p,1.13926106073e-10,28876050.4202,0.000261548756289
10.844u,494.901n,22.049u,400.774n,13.930u,485.015n,57.002u,196.052n,31.209u,513.124n,13.239u,2.019p,4.814907434e-11,6557206.53789,0.000126508417022
11.080u,449.473n,5.887u,401.552n,4.513u,422.532n,310.028u,429.040n,23.212u,296.666n,18.968u,2.809p,None,None,None
8.279u,304.409n,13.910u,303.365n,5.090u,284.732n,77.545u,396.970n,43.567u,431.973n,17.979u,1.540p,5.7792101482e-11,11674675.3247,0.000153346128191
14.129u,445.556n,6.907u,265.721n,4.750u,454.938n,187.712u,459.635n,96.250u,262.071n,29.996u,1.648p,1.21794890041e-10,18201456.3107,0.000675796122722
19.854u,278.779n,18.201u,368.869n,14.317u,253.357n,286.647u,258.561n,134.775u,218.440n,23.733u,1.948p,1.19431961071e-10,12183264.8871,0.00066566692273
19.483u,438.363n,8.567u,398.653n,19.964u,383.154n,73.818u,289.993n,60.656u,489.086n,23.080u,2.602p,7.0677876726e-11,8870099.92314,0.000262307330132
13.940u,276.072n,6.157u,409.937n,4.044u,188.487n,294.452u,445.409n,75.302u,446.132n,13.392u,1.712p,1.71880869949e-10,7822429.90654,0.000395213742891
19.224u,211.554n,9.850u,185.959n,21.493u,517.435n,86.744u,406.360n,88.583u,315.333n,21.426u,0.824p,8.020227568e-11,26002427.1845,0.000164837488314
20.949u,500.057n,9.123u,218.104n,2.858u,327.917n,86.823u,474.512n,89.815u,497.501n,25.971u,2.636p,9.9284251362e-11,9852427.92109,0.000230092155664
10.050u,249.087n,20.065u,424.544n,4.803u,349.259n,169.601u,371.197n,120.251u,469.880n,16.339u,2.274p,1.32158212964e-10,7185136.32366,0.000233137171354
17.538u,435.748n,14.260u,382.959n,5.261u,218.711n,194.458u,398.854n,62.418u,376.301n,12.805u,0.966p,1.15302089285e-10,13255693.5818,0.000224754583898
8.123u,472.058n,5.388u,196.286n,14.330u,211.837n,218.651u,383.406n,110.874u,468.423n,28.760u,2.008p,1.4369577732e-10,14322709.1633,0.0004329236029
18.289u,230.237n,17.752u,395.646n,13.645u,221.129n,143.121u,337.342n,38.795u,377.603n,21.555u,1.577p,7.7181450257e-11,13668357.6411,0.000193593555082
20.729u,211.644n,13.784u,320.980n,6.524u,454.590n,130.892u,401.191n,111.470u,516.418n,11.781u,2.041p,None,None,None
11.553u,237.954n,20.591u,494.526n,15.863u,427.409n,293.127u,278.451n,15.767u,478.049n,28.118u,0.829p,1.08870761255e-10,33917973.462,0.000182986923823
14.981u,387.662n,22.596u,275.345n,4.343u,309.204n,87.141u,423.634n,34.650u,406.411n,22.170u,2.342p,6.4370164558e-11,9466268.14688,0.000145218783696
15.132u,323.171n,17.397u,197.708n,10.640u,332.016n,195.139u,385.285n,100.036u,257.474n,25.301u,2.285p,1.12803198567e-10,11072647.7024,0.000255334592941
10.692u,272.829n,11.618u,335.481n,10.424u,384.229n,265.568u,341.662n,107.551u,400.827n,24.352u,2.213p,1.44663747715e-10,11004066.8775,0.000717977725992
4.293u,314.748n,13.589u,361.014n,21.705u,302.789n,168.848u,447.861n,19.391u,490.589n,16.402u,0.823p,9.7962513082e-11,19929526.1239,8.64528173033e-05
11.912u,265.714n,17.296u,180.699n,3.139u,383.991n,52.389u,393.801n,108.541u,422.120n,25.991u,1.926p,7.394407033e-11,13494807.892,0.000141562171806
12.046u,315.895n,25.450u,355.227n,5.683u,212.330n,188.555u,341.041n,80.725u,267.903n,18.683u,1.121p,9.998392514e-11,16666369.3131,0.000228108925352
3.481u,370.726n,18.236u,215.888n,10.079u,196.922n,209.673u,415.149n,146.765u,297.472n,17.948u,1.313p,1.37916221969e-10,13669459.2536,0.000197321698393
15.135u,180.456n,10.215u,260.049n,17.130u,229.050n,203.408u,493.471n,132.728u,401.933n,13.737u,0.772p,1.63034940987e-10,17794041.4508,0.000189958376007
22.250u,507.181n,17.050u,425.835n,15.790u,274.861n,350.609u,353.570n,65.213u,414.468n,21.488u,0.487p,1.73878845004e-10,44123203.2854,0.000269281852442
14.547u,321.233n,3.765u,207.872n,8.965u,416.602n,87.627u,442.889n,73.825u,333.743n,14.463u,0.968p,7.2638062839e-11,14941115.7025,0.000220693764794
10.885u,354.447n,4.306u,273.808n,6.746u,300.485n,132.745u,519.908n,41.021u,405.255n,25.728u,2.540p,9.2703397468e-11,10129133.8583,0.000476413210501
13.128u,455.060n,7.356u,222.639n,13.709u,365.138n,103.160u,389.093n,56.654u,511.831n,28.196u,2.108p,8.175354436e-11,13375711.575,0.000359931509029
13.711u,201.839n,14.604u,458.676n,15.626u,419.504n,118.052u,426.688n,70.707u,406.620n,15.260u,1.219p,9.5143340453e-11,12518457.7523,0.000189786456381
13.424u,269.019n,5.585u,237.051n,17.735u,357.141n,122.131u,223.967n,54.270u,444.659n,26.616u,2.915p,6.2754094133e-11,9130703.25901,0.000309867600514
8.093u,296.558n,19.546u,388.449n,6.608u,516.875n,79.110u,326.471n,110.617u,218.617n,17.787u,1.826p,6.3418055547e-11,9740963.85542,0.000163958084298
17.872u,513.550n,3.463u,476.892n,22.898u,223.019n,319.210u,306.633n,61.868u,214.870n,24.919u,1.364p,1.27110228748e-10,18269061.5836,0.000316725437271
8.635u,280.768n,22.255u,272.994n,21.904u,501.119n,210.457u,180.495n,91.510u,416.176n,29.853u,0.471p,9.5547125701e-11,63382165.6051,0.000583705431584
10.819u,392.689n,10.085u,202.598n,5.546u,244.338n,219.163u,456.294n,29.354u,184.855n,29.106u,2.166p,1.13075797261e-10,13437673.1302,0.000443746788189
10.053u,245.985n,22.918u,257.089n,11.151u,220.036n,309.748u,187.601n,66.626u,449.288n,17.722u,0.890p,None,None,None
15.586u,471.037n,23.126u,440.936n,22.407u,319.954n,306.245u,261.142n,105.251u,215.450n,13.017u,1.294p,1.27357637636e-10,10059505.4096,0.000334564631298
4.920u,374.782n,26.245u,498.840n,20.385u,324.777n,46.568u,188.158n,82.137u,509.762n,18.509u,0.847p,7.2189025523e-11,21852420.307,0.000171195032349
23.539u,394.043n,3.253u,205.796n,23.295u,398.634n,36.687u,466.800n,148.750u,270.734n,27.703u,1.577p,7.6628185695e-11,17566899.1756,0.000250925768651
14.324u,496.573n,4.891u,471.525n,2.464u,440.939n,245.197u,513.533n,81.839u,481.668n,16.295u,2.470p,1.75841592576e-10,6597165.9919,0.00091572997571
15.152u,189.809n,21.471u,498.700n,13.201u,198.120n,172.236u,501.203n,148.475u,510.176n,18.752u,2.586p,1.78272537296e-10,7251353.44161,0.000219790291816
9.275u,239.312n,5.857u,368.106n,20.972u,251.527n,167.350u,341.452n,96.368u,224.058n,23.438u,1.098p,8.838465343e-11,21346083.7887,0.000480255406249
16.011u,425.445n,5.330u,343.323n,20.732u,262.346n,82.891u,474.615n,14.599u,413.197n,25.115u,2.436p,5.9454243725e-11,10309934.3186,0.000124411846555
16.971u,273.650n,13.121u,243.961n,13.273u,423.685n,82.181u,381.808n,103.328u,310.885n,16.070u,2.733p,7.6969185964e-11,5879985.36407,0.000123926396072
13.666u,396.140n,19.102u,346.868n,14.358u,221.431n,201.598u,281.642n,131.340u,252.218n,19.436u,2.109p,1.0512360411e-10,9215742.05785,0.000354495251432
9.830u,339.280n,18.875u,429.518n,23.938u,383.563n,129.442u,331.519n,40.206u,439.073n,29.053u,0.937p,8.118985718e-11,31006403.4152,0.000242815420266
18.534u,442.838n,16.462u,245.710n,10.639u,365.141n,136.868u,366.168n,148.283u,291.516n,10.442u,0.875p,1.09480721463e-10,11933714.2857,9.70712594716e-05
21.599u,344.711n,22.240u,313.386n,12.486u,352.043n,214.539u,493.292n,22.993u,400.554n,22.703u,1.908p,1.33851036937e-10,11898846.9602,0.000201917226168
19.322u,377.593n,12.985u,374.210n,13.390u,342.469n,103.685u,211.506n,18.020u,440.940n,18.083u,0.860p,4.6616367116e-11,21026744.186,0.000125936364417
10.491u,472.701n,18.613u,277.411n,14.377u,451.833n,151.406u,468.694n,96.657u,360.597n,25.152u,2.905p,1.22435868168e-10,8658175.55938,0.000236309277273
19.294u,205.515n,21.869u,501.383n,3.390u,361.920n,97.245u,281.461n,92.644u,295.087n,13.641u,1.732p,7.086557501e-11,7875866.05081,0.000155186750449
18.528u,418.874n,21.015u,182.452n,20.592u,465.064n,65.677u,413.784n,87.376u,331.994n,25.272u,2.129p,7.7356123652e-11,11870361.6721,0.000129038502237
18.495u,422.299n,5.384u,340.432n,7.187u,224.187n,48.834u,509.997n,101.309u,444.361n,20.616u,1.176p,8.1177499909e-11,17530612.2449,0.000212549384374
6.740u,455.222n,5.334u,199.084n,15.725u,226.082n,159.272u,307.395n,62.556u,445.066n,10.964u,0.781p,8.4486214922e-11,14038412.2919,0.000110672165495
14.490u,303.160n,23.945u,206.982n,3.892u,278.092n,176.436u,452.002n,136.516u,387.495n,20.522u,2.751p,1.43079998746e-10,7459832.78808,0.000152127621755
8.611u,286.479n,16.044u,203.075n,22.386u,241.179n,103.412u,213.016n,36.097u,286.072n,13.123u,1.808p,4.3478790639e-11,7258296.46018,0.000103737868872
4.248u,440.371n,7.684u,319.217n,21.785u,298.317n,49.596u,430.894n,149.355u,182.122n,27.234u,1.147p,5.9393845415e-11,23743679.163,0.000262909347298
16.707u,311.516n,8.281u,488.350n,2.306u,408.385n,193.231u,483.366n,147.867u,490.049n,28.942u,0.792p,1.76053631001e-10,36542929.2929,0.000887886124205
18.676u,445.303n,11.721u,329.218n,10.829u,286.710n,194.916u,270.918n,86.113u,479.425n,16.588u,1.718p,1.09371003509e-10,9655413.27125,0.000318538319797
6.665u,468.388n,8.383u,247.864n,12.407u,207.127n,81.912u,218.512n,115.810u,387.256n,17.221u,0.440p,7.0516346925e-11,39138636.3636,0.000291948449394
17.589u,237.646n,13.050u,266.259n,12.825u,339.238n,168.079u,340.839n,95.478u,356.872n,14.066u,0.916p,1.03366665891e-10,15355895.1965,0.000191612423945
14.723u,322.828n,18.400u,241.293n,14.725u,255.154n,276.046u,443.873n,23.426u,208.141n,23.974u,0.450p,1.40355207718e-10,53275555.5556,0.000238291976432
22.043u,334.008n,7.250u,493.686n,8.991u,445.441n,357.499u,387.137n,142.757u,508.528n,26.468u,0.787p,2.25943743934e-10,33631512.0712,0.00131171439416
22.257u,510.825n,4.855u,409.924n,18.010u,236.142n,157.999u,427.440n,43.583u,205.690n,27.839u,1.249p,9.4112210295e-11,22289031.225,0.000352417074696
15.928u,333.147n,25.433u,481.973n,6.371u,275.290n,94.627u,519.166n,125.676u,339.566n,24.317u,1.044p,1.11120675013e-10,23292145.5939,0.000182567891416
5.719u,357.437n,25.365u,436.231n,12.323u,482.183n,214.323u,367.760n,112.505u,422.460n,11.082u,1.062p,1.45399411407e-10,10435028.2486,0.00016748741386
4.862u,373.223n,17.399u,408.088n,18.888u,212.996n,138.816u,240.342n,28.261u,192.533n,20.408u,1.654p,None,None,None
19.391u,442.046n,8.959u,296.563n,14.527u,253.374n,223.388u,183.026n,34.711u,252.959n,13.910u,1.872p,6.4575657938e-11,7430555.55556,0.000157930817543
6.502u,376.570n,8.044u,446.572n,2.333u,266.466n,152.095u,330.199n,63.001u,344.231n,14.110u,2.335p,7.8570862622e-11,6042826.55246,0.000476487899626
21.615u,259.153n,18.929u,201.739n,3.583u,238.942n,269.496u,301.581n,128.072u,287.460n,20.043u,1.771p,1.28366889108e-10,11317334.8391,0.000271270368405
13.567u,237.541n,23.186u,395.550n,16.808u,401.878n,329.028u,315.765n,148.960u,469.565n,21.123u,1.332p,1.92990635291e-10,15858108.1081,0.000483717838404
22.135u,422.567n,4.159u,426.576n,17.713u,443.901n,205.315u,359.251n,140.862u,497.880n,15.734u,0.584p,1.62882460167e-10,26941780.8219,0.0004231892265
16.449u,247.659n,17.902u,212.857n,3.808u,308.916n,323.038u,472.193n,63.237u,188.099n,25.865u,0.937p,1.7349175983e-10,27604055.4963,0.000327397532033
8.248u,451.039n,13.657u,250.844n,2.435u,381.860n,240.502u,463.787n,114.730u,327.419n,13.939u,1.175p,1.57182258224e-10,11862978.7234,0.000207557070512
10.361u,462.931n,21.273u,328.458n,17.247u,509.349n,184.600u,371.422n,122.344u,283.696n,15.089u,2.400p,1.23841461952e-10,6287083.33333,0.000186733745161
7.517u,440.627n,9.572u,215.775n,3.179u,425.275n,111.366u,190.885n,48.990u,292.910n,18.082u,1.125p,4.2337300494e-11,16072888.8889,0.000354172972775
14.914u,448.962n,5.688u,466.016n,17.608u,287.094n,311.335u,506.721n,113.669u,309.556n,28.572u,0.483p,2.07348572927e-10,59155279.5031,0.000664964278397
20.732u,404.733n,14.548u,280.992n,16.445u,204.930n,208.336u,430.234n,14.978u,495.269n,19.703u,2.048p,1.12900239728e-10,9620605.46875,9.26109325389e-05
4.247u,333.498n,14.126u,344.569n,3.845u,410.311n,191.400u,370.628n,92.621u,227.386n,13.899u,2.424p,9.9860311401e-11,5733910.89109,0.000262025282918
7.292u,409.417n,18.993u,420.028n,23.680u,425.168n,169.950u,382.662n,69.466u,380.312n,26.668u,1.465p,1.124831991e-10,18203412.9693,0.000382129567603
3.177u,282.114n,19.672u,266.702n,14.879u,314.971n,260.957u,301.734n,49.644u,379.515n,29.186u,0.720p,1.08409533529e-10,40536111.1111,0.000370268408424
23.729u,205.292n,14.322u,368.484n,4.467u,222.300n,97.647u,192.390n,32.727u,457.807n,25.584u,2.607p,4.4910771835e-11,9813578.82624,0.000388090431993
14.830u,493.276n,21.911u,197.896n,15.721u,411.140n,41.503u,337.103n,80.577u,409.646n,27.701u,2.194p,6.5113745827e-11,12625797.6299,0.000135435211022
10.778u,403.479n,10.876u,384.233n,2.121u,363.387n,167.291u,475.780n,70.301u,376.303n,13.513u,2.649p,1.1534654778e-10,5101170.25293,0.000239814414131
23.754u,430.752n,14.758u,370.078n,10.591u,211.622n,292.323u,182.151n,65.441u,183.459n,19.950u,1.570p,8.3187649926e-11,12707006.3694,0.000539054384065
23.836u,487.692n,15.303u,282.126n,9.425u,341.958n,197.071u,210.859n,141.874u,225.883n,16.636u,0.810p,9.2766073571e-11,20538271.6049,0.000368115371175
16.013u,255.976n,15.905u,518.099n,11.856u,478.875n,266.072u,332.983n,114.889u,396.136n,29.702u,2.172p,1.52125971963e-10,13674953.9595,0.000977464477779
14.231u,475.443n,22.676u,507.039n,8.671u,496.332n,184.847u,238.519n,14.919u,423.854n,27.228u,1.533p,None,None,None
3.983u,183.463n,27.960u,500.463n,23.672u,402.705n,231.497u,196.191n,31.674u,380.621n,23.849u,2.954p,8.172992885e-11,8073459.71564,0.000194921208554
18.775u,508.963n,6.956u,290.667n,4.521u,255.107n,100.715u,296.731n,17.374u,493.006n,24.183u,1.419p,5.1181747633e-11,17042283.2981,0.000247430786937
12.237u,333.638n,10.110u,190.854n,23.036u,283.304n,285.386u,204.472n,124.315u,456.977n,25.825u,0.571p,1.27700995037e-10,45227670.7531,0.000374945820947
2.281u,281.048n,25.912u,414.728n,15.751u,316.046n,347.896u,385.427n,86.622u,324.713n,24.003u,1.460p,1.78581344048e-10,16440410.9589,0.000504295574752
5.396u,450.422n,11.016u,426.086n,13.069u,183.479n,104.984u,334.435n,51.088u,462.577n,26.249u,0.930p,6.8264585355e-11,28224731.1828,0.000225969808682
12.899u,500.445n,7.938u,449.378n,20.297u,492.822n,165.479u,460.687n,47.233u,244.849n,13.291u,2.961p,1.07824187643e-10,4488686.25464,0.000251683965701
17.251u,396.572n,11.770u,469.755n,5.783u,335.401n,175.527u,355.584n,49.432u,320.247n,22.410u,2.918p,9.2554946377e-11,7679917.75188,0.000585677229029
16.982u,423.183n,19.829u,181.994n,19.795u,196.635n,49.309u,503.536n,20.990u,193.810n,13.920u,0.905p,4.3584571081e-11,15381215.4696,6.109279355e-05
19.589u,219.354n,25.654u,234.748n,13.020u,200.065n,189.027u,470.626n,60.380u,452.528n,20.991u,1.634p,1.2920865854e-10,12846389.2289,0.000152802578807
20.741u,301.909n,6.647u,229.584n,5.596u,508.956n,173.659u,486.081n,90.395u,301.822n,26.861u,0.782p,1.22331597262e-10,34349104.8593,0.000464735277471
14.531u,297.245n,14.372u,234.354n,11.857u,187.288n,258.864u,224.189n,37.778u,205.471n,20.626u,0.742p,7.5704821333e-11,27797843.6658,0.000269464127749
9.192u,355.704n,17.886u,436.056n,8.918u,267.015n,59.261u,481.182n,55.068u,190.427n,29.131u,2.393p,5.2451929092e-11,12173422.4822,0.000210308847814
15.279u,419.588n,26.036u,470.824n,11.124u,354.313n,277.637u,217.511n,148.488u,296.872n,21.083u,1.922p,None,None,None
11.710u,311.986n,23.324u,255.229n,11.502u,260.919n,172.362u,476.719n,148.147u,371.931n,10.695u,0.945p,1.49876109729e-10,11317460.3175,8.1691012157e-05
9.703u,210.313n,18.975u,247.359n,20.955u,502.220n,351.984u,475.087n,87.569u,243.923n,11.660u,2.085p,None,None,None
2.527u,320.554n,17.883u,342.768n,23.439u,462.106n,323.955u,254.633n,18.188u,470.424n,15.085u,2.257p,1.08816767863e-10,6683650.86398,9.03272511803e-05
21.502u,401.342n,25.593u,289.652n,18.706u,492.687n,302.292u,477.578n,115.238u,356.115n,20.859u,2.548p,2.10664911488e-10,8186420.72214,0.000237250003529
3.631u,281.104n,23.222u,264.586n,18.191u,236.612n,85.239u,221.054n,142.692u,235.246n,26.251u,1.986p,6.3879257746e-11,13218026.1833,0.000236899052332
2.836u,315.879n,7.678u,379.402n,13.788u,214.084n,352.052u,354.201n,63.232u,494.207n,12.181u,1.974p,1.62707539068e-10,6170719.35157,0.000121728611136
13.750u,371.601n,5.910u,246.962n,15.845u,438.384n,322.008u,481.729n,94.845u,277.037n,14.754u,0.886p,1.94911419747e-10,16652370.2032,0.000479092193369
3.474u,411.011n,20.209u,216.382n,3.517u,517.504n,142.903u,335.862n,88.448u,481.746n,16.057u,0.814p,9.8225935214e-11,19726044.226,0.000152590418605
15.096u,477.610n,4.187u,210.786n,10.529u,374.720n,276.037u,303.101n,107.045u,363.427n,24.566u,2.553p,None,None,None
19.759u,333.350n,26.752u,183.673n,16.066u,413.966n,316.270u,412.490n,88.382u,183.868n,20.225u,0.661p,1.64859894378e-10,30597579.4251,0.000186199588166
16.317u,422.824n,20.149u,253.307n,10.901u,242.771n,172.718u,215.923n,36.428u,215.125n,16.379u,0.885p,5.9779910836e-11,18507344.6328,0.000235201300356
2.207u,305.210n,18.658u,350.965n,10.000u,307.903n,343.206u,477.296n,24.380u,379.102n,18.762u,0.974p,1.83354291176e-10,19262833.6756,0.000189022442081
5.111u,208.245n,23.233u,210.115n,14.004u,293.708n,173.145u,216.494n,85.984u,207.242n,13.402u,2.794p,6.536337858e-11,4796707.22978,0.000156254779924
17.842u,334.143n,12.369u,513.124n,13.373u,341.533n,323.025u,304.547n,34.318u,390.968n,22.075u,1.702p,1.2866946547e-10,12970035.2526,0.00024139392239
3.913u,437.789n,6.389u,298.209n,9.991u,458.414n,37.295u,203.953n,104.244u,396.987n,28.406u,1.971p,5.7188279895e-11,14411973.6175,0.000418715861089
16.620u,495.290n,9.581u,210.296n,10.986u,480.760n,222.851u,380.495n,33.004u,202.303n,12.157u,1.131p,1.06998694593e-10,10748894.7834,0.000212708489273
17.800u,413.837n,3.943u,428.079n,7.823u,411.631n,307.145u,345.835n,57.582u,480.353n,21.827u,2.127p,1.46155580931e-10,10261871.1801,0.000533753645085
14.628u,343.691n,12.777u,358.729n,15.161u,286.453n,302.129u,350.845n,74.153u,310.682n,17.731u,1.311p,1.42992357665e-10,13524790.2365,0.00032562476024
3.336u,331.139n,18.224u,195.409n,3.159u,198.895n,123.618u,349.631n,26.380u,488.053n,29.953u,2.890p,6.1389645723e-11,10364359.8616,0.000258675229201
3.368u,409.560n,17.040u,453.396n,23.472u,423.723n,321.252u,211.838n,32.125u,375.098n,28.091u,1.104p,None,None,None
23.889u,377.569n,19.262u,333.282n,2.891u,345.237n,273.970u,313.420n,73.760u,291.623n,25.991u,2.657p,1.23815293772e-10,9782085.05834,0.00053289179244
23.804u,224.423n,25.470u,450.757n,23.053u,205.342n,358.184u,235.962n,96.077u,256.753n,27.758u,1.889p,1.30742565997e-10,14694547.3796,0.000401286921034
17.037u,431.084n,25.731u,298.021n,20.835u,479.990n,265.979u,181.264n,20.568u,232.171n,29.178u,2.811p,7.8001058693e-11,10379935.9658,0.000300365747675
23.867u,490.080n,25.622u,258.218n,18.163u,412.053n,234.503u,247.649n,15.218u,360.737n,25.036u,1.634p,8.9361048708e-11,15321909.4247,0.0001676553918
6.609u,199.590n,4.842u,306.121n,11.545u,277.562n,218.878u,203.966n,131.142u,441.565n,16.956u,1.108p,1.0855716886e-10,15303249.0975,0.00045890936146
21.656u,251.133n,4.352u,389.087n,8.623u,271.255n,151.854u,410.344n,91.835u,233.731n,25.128u,1.506p,9.3247938898e-11,16685258.9641,0.000953262400241
18.935u,433.982n,26.953u,391.620n,5.793u,210.807n,39.860u,390.507n,17.235u,279.006n,10.020u,2.656p,4.0368265411e-11,3772590.36145,5.0298991597e-05
23.243u,519.495n,15.883u,251.897n,4.384u,513.934n,217.343u,457.426n,33.140u,253.643n,19.088u,2.607p,None,None,None
5.268u,353.902n,3.572u,480.471n,3.183u,339.897n,276.888u,187.956n,44.624u,503.622n,21.669u,2.309p,None,None,None
22.687u,406.549n,8.373u,183.409n,17.511u,445.885n,239.057u,193.607n,130.884u,419.839n,20.829u,2.019p,1.1980026923e-10,10316493.3135,0.000610938023811
22.022u,324.120n,20.733u,222.577n,3.621u,396.380n,216.192u,450.346n,99.537u,491.674n,26.774u,1.653p,1.59488708931e-10,16197217.1809,0.00025401618565
11.952u,390.674n,3.762u,182.602n,11.588u,412.614n,114.811u,222.305n,119.659u,186.871n,25.001u,2.791p,5.8021511748e-11,8957721.24686,0.000826630514199
22.929u,435.139n,7.650u,442.299n,17.351u,461.892n,226.975u,287.544n,90.929u,353.439n,21.507u,1.176p,1.18778331804e-10,18288265.3061,0.000562187790205
18.623u,281.818n,27.557u,490.574n,20.582u,213.997n,296.652u,430.270n,76.580u,450.616n,28.102u,0.446p,1.85320159906e-10,63008968.6099,0.000261402852873
14.186u,399.658n,25.143u,402.878n,2.218u,219.598n,88.206u,436.598n,67.463u,305.807n,13.417u,2.814p,7.5427399135e-11,4767945.98436,9.65493937827e-05
9.917u,459.243n,21.750u,303.533n,10.497u,180.115n,122.225u,254.345n,138.907u,329.755n,20.014u,0.798p,8.9939418146e-11,25080200.5013,0.000229156722672
2.312u,442.520n,27.246u,294.154n,11.616u,329.304n,41.946u,287.895n,82.884u,184.843n,19.727u,2.471p,4.025939227e-11,7983407.52732,0.000110456727922
16.486u,406.382n,4.205u,286.976n,22.266u,460.976n,325.448u,193.420n,37.961u,388.007n,12.523u,1.877p,9.5847725235e-11,6671816.72882,0.000127048362656
12.566u,352.361n,14.304u,395.999n,9.151u,497.516n,347.312u,440.325n,54.304u,220.131n,21.887u,0.986p,1.79529057162e-10,22197768.7627,0.000627194254651
15.078u,398.639n,8.178u,352.783n,2.769u,278.748n,65.664u,356.068n,119.395u,440.560n,13.883u,0.637p,8.564910178e-11,21794348.5086,0.000171087050105
19.746u,446.122n,18.071u,452.776n,17.957u,356.545n,176.533u,252.167n,104.492u,188.119n,11.419u,1.831p,8.7566446232e-11,6236482.79629,0.0002488049073
3.273u,213.699n,5.307u,270.333n,2.736u,344.418n,337.234u,385.752n,39.018u,501.956n,11.282u,2.085p,1.52750430882e-10,5411031.17506,0.00040579057775
19.360u,337.554n,16.097u,496.844n,20.469u,318.767n,44.716u,428.433n,131.348u,289.433n,20.033u,1.253p,7.8231840743e-11,15988028.731,0.000139444238094
22.911u,396.801n,16.827u,228.725n,19.206u,317.109n,139.071u,218.649n,95.591u,209.684n,25.052u,1.538p,6.9481897063e-11,16288686.606,0.000327454887449
22.123u,484.152n,8.423u,420.685n,6.029u,363.896n,223.008u,418.544n,136.976u,428.179n,21.666u,2.586p,1.68437160491e-10,8378190.25522,0.000723527819249
3.625u,457.300n,9.453u,467.945n,10.887u,416.168n,183.557u,279.882n,62.924u,349.381n,19.919u,0.454p,8.3970767919e-11,43874449.3392,0.000523771106577
4.366u,343.625n,16.443u,367.782n,18.778u,329.232n,335.062u,438.492n,114.800u,213.760n,24.586u,2.549p,1.85191679176e-10,9645351.11809,0.00061457941084
14.253u,368.091n,12.070u,242.979n,7.931u,226.716n,75.812u,488.957n,95.050u,321.209n,24.093u,2.426p,7.7576965683e-11,9931162.40725,0.000172048544827
15.841u,385.901n,23.543u,228.015n,18.377u,473.681n,348.031u,276.551n,137.334u,183.454n,28.211u,2.499p,1.4162884334e-10,11288915.5662,0.000498546802814
6.324u,346.860n,19.614u,491.895n,8.637u,244.594n,170.873u,376.805n,17.562u,229.139n,27.948u,1.903p,8.2364069431e-11,14686284.8135,0.000300271836065
18.372u,288.801n,17.099u,478.904n,23.725u,211.113n,175.138u,186.540n,28.247u,249.907n,18.551u,0.474p,5.8232652942e-11,39137130.8017,0.000125173877741
