W1,L1,W3,L3,W5,L5,W6,L6,W7,L7,IB,CC,total_area,slew_rate,total_power
15.686u,456.190n,17.503u,488.337n,12.013u,512.380n,206.984u,399.258n,147.016u,302.718n,29.763u,1.650p,1.49002787151e-10,18038181.8182,0.000617181860501
13.010u,409.710n,3.781u,236.999n,11.859u,403.722n,285.672u,376.730n,144.106u,214.128n,10.019u,1.811p,1.49492501645e-10,5532302.59525,0.000558076755594
12.889u,227.270n,24.104u,448.701n,9.718u,513.143n,46.766u,380.228n,21.626u,190.657n,13.047u,2.766p,4.0636386538e-11,4716919.7397,7.7278846764e-05
21.813u,432.514n,14.047u,431.444n,17.518u,198.961n,186.975u,481.627n,142.550u,253.763n,19.972u,2.202p,1.45206444523e-10,9069936.42144,0.000330082891929
10.117u,457.379n,10.953u,358.521n,5.758u,223.866n,174.969u,443.532n,25.687u,459.713n,25.861u,2.333p,9.9256202623e-11,11084869.267,0.000278938358649
22.923u,360.593n,3.183u,456.048n,16.302u,435.476n,143.964u,290.314n,106.570u,333.140n,18.280u,2.096p,9.4114098371e-11,8721374.0458,0.000579855091306
7.160u,199.888n,21.849u,420.981n,4.301u,282.656n,128.137u,187.358n,18.003u,374.017n,20.366u,2.163p,4.2585835502e-11,9415626.44475,0.000287257866028
5.386u,451.429n,13.146u,509.910n,6.755u,351.572n,101.873u,211.566n,68.374u,317.169n,14.647u,2.564p,5.4748518638e-11,5712558.50234,0.000385077725061
5.766u,421.426n,17.991u,193.826n,8.699u,478.829n,305.456u,478.369n,97.528u,374.641n,18.570u,1.822p,1.92741068065e-10,10192096.5971,0.000223659314882
11.249u,457.640n,12.568u,418.842n,7.041u,389.621n,278.061u,424.752n,67.787u,234.445n,29.723u,1.078p,1.47154609164e-10,27572356.2152,0.000897221338629
3.956u,398.556n,21.487u,276.142n,2.536u,467.986n,179.348u,484.398n,126.442u,441.830n,20.340u,0.959p,1.5143864455e-10,21209593.3264,0.000201676963571
18.621u,483.576n,4.101u,501.584n,11.163u,417.098n,174.477u,450.587n,93.487u,250.328n,17.564u,2.978p,1.17737211389e-10,5897918.06582,0.000866452371728
21.451u,283.360n,23.912u,248.168n,19.949u,401.915n,245.070u,397.244n,132.973u,310.392n,18.926u,2.745p,1.58656693407e-10,6894717.66849,0.000192332998534
9.360u,452.660n,20.365u,264.686n,11.323u,198.435n,255.584u,212.811n,81.079u,440.046n,20.956u,2.950p,1.01943683753e-10,7103728.81356,0.000296471119149
20.600u,399.173n,24.585u,231.560n,23.992u,228.839n,88.920u,315.072n,50.505u,260.230n,10.143u,1.898p,6.0565290078e-11,5344046.36459,6.17295902553e-05
14.776u,449.965n,21.878u,365.739n,20.885u,215.187n,274.752u,513.282n,97.851u,347.188n,22.330u,0.655p,1.94142450229e-10,34091603.0534,0.000286811856628
18.187u,394.643n,16.759u,298.486n,23.925u,336.392n,330.409u,295.854n,47.360u,203.165n,27.652u,0.560p,1.27602596401e-10,49378571.4286,0.000395790600638
4.218u,388.921n,16.840u,474.203n,3.693u,378.274n,214.404u,466.066n,16.330u,496.077n,24.319u,2.288p,1.19050365254e-10,10628933.5664,0.000362987732946
9.406u,182.760n,16.875u,491.523n,22.664u,397.302n,84.447u,237.105n,54.580u,312.821n,22.590u,1.419p,5.6114519828e-11,15919661.7336,0.00030500517207
5.044u,232.026n,19.434u,308.648n,5.861u,222.652n,252.534u,474.276n,140.386u,371.989n,11.160u,2.909p,1.80466430886e-10,3836369.88656,0.000145374524789
12.742u,518.542n,23.549u,393.832n,8.502u,221.991n,109.924u,196.158n,88.183u,184.441n,11.608u,0.801p,5.5596012109e-11,14491885.1436,0.000161755275088
17.607u,205.277n,7.701u,453.680n,22.408u,337.938n,286.358u,234.900n,132.687u,237.073n,26.943u,2.734p,1.13402615874e-10,9854791.51426,0.00084482466127
19.043u,273.305n,27.378u,497.795n,22.899u,323.702n,311.759u,297.306n,99.422u,291.686n,26.162u,2.296p,1.47933457469e-10,11394599.3031,0.000507353338215
10.753u,421.084n,7.215u,230.305n,4.246u,430.384n,165.630u,419.082n,56.437u,389.873n,26.446u,0.578p,9.9432791452e-11,45754325.2595,0.000500860719993
11.542u,388.383n,23.718u,506.847n,15.236u,411.254n,229.351u,241.637n,33.402u,316.421n,27.211u,0.680p,8.8758761505e-11,40016176.4706,0.000353032282563
14.888u,422.266n,11.021u,180.484n,19.308u,488.766n,198.622u,255.085n,147.335u,353.534n,29.572u,2.969p,1.2046632906e-10,9960255.97844,0.000549849934138
7.824u,470.431n,7.159u,490.916n,21.608u,436.665n,322.883u,380.812n,133.139u,507.977n,13.473u,2.735p,2.07219847907e-10,4926142.59598,0.000282174525712
19.877u,182.274n,7.515u,442.747n,21.709u,465.558n,65.732u,183.623n,58.384u,301.044n,16.235u,1.946p,4.6703162557e-11,8342754.36793,0.00027942955383
19.714u,432.317n,4.206u,298.403n,9.020u,480.659n,79.487u,342.227n,106.055u,201.766n,28.260u,2.298p,6.2714215215e-11,12297650.1305,0.000638022259296
8.687u,514.468n,9.902u,449.067n,8.384u,281.228n,355.413u,230.027n,29.045u,253.922n,28.477u,2.227p,1.00403411143e-10,12787157.6111,0.00046334285823
14.130u,384.115n,14.861u,377.955n,8.810u,509.339n,266.121u,443.638n,56.418u,263.862n,25.405u,2.231p,1.48479565309e-10,11387270.2824,0.000542335347601
23.194u,307.902n,9.000u,222.421n,5.153u,499.523n,250.088u,194.016n,121.706u,193.516n,26.972u,2.350p,8.3790441711e-11,11477446.8085,0.00103470796614
19.082u,308.452n,16.635u,307.997n,12.374u,492.096n,84.774u,513.787n,51.761u,381.650n,28.144u,1.899p,8.0408971851e-11,14820431.8062,0.000197900821309
22.545u,389.193n,20.077u,426.551n,9.635u,350.890n,49.549u,452.029n,18.935u,328.721n,26.070u,1.794p,4.9340962818e-11,14531772.5753,0.000161510343867
12.102u,516.816n,4.846u,426.245n,22.952u,439.163n,307.671u,231.300n,79.630u,395.870n,14.946u,1.033p,1.21087190078e-10,14468538.2381,0.00024168083189
16.259u,215.676n,15.530u,258.277n,8.994u,446.130n,315.761u,202.670n,30.690u,289.258n,18.190u,2.815p,8.4402821004e-11,6461811.72291,0.000381403267465
10.471u,509.494n,14.952u,460.036n,6.630u,261.956n,183.522u,300.970n,104.804u,202.538n,20.017u,2.585p,9.0411547118e-11,7743520.30948,0.000519696417767
5.453u,279.815n,14.417u,300.114n,23.954u,480.785n,258.653u,445.770n,21.971u,264.575n,26.172u,0.752p,1.38482023758e-10,34803191.4894,0.000236320429915
9.498u,267.617n,4.396u,448.223n,19.682u,290.231n,226.954u,439.302n,22.586u,446.211n,24.553u,1.543p,1.2000400887e-10,15912508.1011,0.000146174152022
15.849u,296.561n,24.930u,213.494n,4.505u,231.581n,313.971u,409.734n,15.707u,248.779n,17.798u,1.455p,1.43618038581e-10,12232302.4055,0.000191929652231
18.857u,411.402n,19.602u,477.076n,13.069u,343.738n,319.988u,427.421n,104.333u,408.336n,16.710u,1.713p,2.00974274024e-10,9754816.11208,0.000381942586966
22.253u,344.929n,15.192u,458.539n,13.466u,251.214n,225.400u,244.711n,86.374u,508.804n,29.879u,1.891p,1.17129973345e-10,15800634.5849,0.000417915968907
17.430u,242.537n,19.151u,406.646n,19.561u,287.700n,279.175u,484.621n,138.110u,353.135n,10.376u,2.636p,2.01708339681e-10,3936267.07132,0.000162702208325
6.628u,433.950n,15.982u,196.985n,22.077u,491.118n,316.130u,437.827n,133.746u,412.501n,29.983u,2.048p,2.10447455212e-10,14640136.7188,0.000442405139873
19.968u,311.171n,10.184u,232.350n,9.712u,317.153n,96.318u,461.777n,149.319u,434.273n,12.837u,2.279p,1.20982552037e-10,5632733.65511,0.000106891407943
13.900u,290.883n,11.377u,450.293n,12.653u,453.208n,131.544u,481.728n,49.921u,391.754n,12.520u,2.102p,9.7825877451e-11,5956232.15985,0.000187112317596
15.392u,194.093n,12.213u,412.901n,10.277u,365.640n,110.674u,518.019n,133.282u,316.354n,21.210u,1.239p,1.11283450283e-10,17118644.0678,0.000236601555655
11.697u,379.719n,13.237u,188.702n,20.895u,272.100n,157.832u,260.527n,17.658u,360.578n,29.039u,2.283p,6.0111534805e-11,12719667.1047,0.000162587371311
4.116u,373.740n,18.818u,370.035n,10.590u,476.798n,303.017u,318.696n,81.979u,341.658n,25.099u,2.544p,1.38130010304e-10,9865959.1195,0.000687891470656
21.145u,286.152n,15.190u,278.194n,4.757u,326.774n,155.391u,363.803n,99.446u,429.588n,14.965u,1.373p,1.11083435039e-10,10899490.1675,0.000172970484187
19.249u,486.579n,10.176u,258.532n,15.618u,364.325n,296.157u,353.961n,81.200u,332.797n,11.758u,2.126p,1.4953815293e-10,5530573.8476,0.000261368802948
21.082u,262.421n,26.321u,349.640n,22.836u,233.974n,126.170u,426.800n,30.217u,424.167n,25.854u,1.275p,8.6744674465e-11,20277647.0588,0.000151799641934
2.616u,347.534n,11.561u,498.757n,5.318u,345.085n,289.177u,257.421n,77.743u,204.245n,21.520u,1.316p,9.8829292203e-11,16352583.5866,0.00142479609829
19.827u,411.825n,19.258u,196.924n,7.282u,278.052n,152.473u,416.191n,139.505u,235.889n,12.293u,0.876p,None,None,None
16.790u,217.590n,25.042u,293.920n,7.229u,488.308n,311.841u,495.131n,23.759u,209.964n,22.614u,2.827p,1.73934340119e-10,7999292.53626,0.00026081653186
23.464u,433.387n,10.770u,187.534n,6.280u,436.995n,112.768u,270.253n,116.682u,308.988n,27.038u,1.503p,None,None,None
11.937u,298.200n,24.425u,227.461n,9.707u,205.942n,80.943u,452.972n,144.324u,446.253n,17.886u,2.347p,1.12184357887e-10,7620792.50107,9.55454317308e-05
4.533u,300.571n,16.128u,213.711n,2.232u,261.474n,344.576u,425.608n,30.750u,188.698n,17.809u,0.641p,1.57849595027e-10,27783151.3261,0.000298335845316
10.365u,195.338n,24.481u,229.761n,12.600u,390.593n,343.912u,421.540n,33.546u,415.587n,10.554u,2.191p,1.71484875193e-10,4816978.54861,0.000115050800612
2.888u,431.980n,3.063u,442.210n,8.031u,446.312n,327.248u,413.742n,90.269u,388.736n,12.463u,2.210p,None,None,None
11.283u,409.617n,23.294u,305.383n,14.093u,184.512n,172.655u,350.635n,59.406u,454.053n,26.090u,1.572p,1.01847986272e-10,16596692.112,0.000238398777243
10.698u,348.727n,22.314u,456.189n,21.514u,420.578n,281.697u,470.993n,133.188u,336.534n,19.915u,1.091p,2.00458003397e-10,18253895.5087,0.000349943708902
10.425u,262.840n,3.268u,507.832n,10.163u,318.221n,54.663u,328.742n,129.650u,473.442n,21.749u,1.850p,8.6985561245e-11,11756216.2162,0.000667949694975
