W1,L1,W3,L3,W5,L5,W6,L6,W7,L7,IB,CC,Gain,Gain_Phase,UGBW,PM_db,PM_PH
23.485u,298.183n,12.817u,346.738n,8.732u,277.030n,253.235u,294.266n,61.058u,387.093n,19.944u,0.851p,84.1688201825,95.7132651252,162303.924526,38.876083319,0.0
10.073u,390.139n,3.875u,438.392n,23.332u,410.832n,206.279u,340.325n,83.746u,506.889n,22.779u,1.970p,57.6143092903,90.8854422767,7599.4751862,39.0761345338,0.0
11.620u,192.949n,21.118u,379.591n,15.148u,372.863n,350.445u,327.612n,36.849u,383.921n,26.843u,2.468p,69.6666652327,93.8531381609,30504.6264449,39.0470157987,0.0
11.018u,200.179n,5.533u,463.678n,8.896u,274.392n,58.758u,477.695n,50.283u,364.114n,28.907u,2.870p,81.2457513402,90.4532658399,115021.647031,38.58197546,0.0
16.176u,380.803n,17.981u,274.401n,8.623u,485.552n,69.830u,445.393n,119.008u,472.873n,10.812u,0.460p,82.1453076706,93.2130621962,128040.568499,38.7704276897,0.0
18.260u,219.855n,24.637u,348.508n,18.799u,294.781n,284.829u,397.152n,52.330u,283.214n,25.938u,1.211p,85.3174694354,101.661088736,188012.568019,38.7302161035,0.0
15.094u,195.103n,24.439u,476.781n,8.496u,347.858n,92.124u,252.965n,63.184u,217.741n,19.486u,1.668p,82.9103850767,93.0623288177,139926.270628,38.8697224083,0.0
11.769u,323.675n,5.712u,501.224n,16.926u,441.840n,67.505u,330.158n,53.278u,473.105n,22.304u,0.855p,78.6171171358,91.7484078678,85249.7967724,38.8390313634,0.0
14.050u,296.560n,22.196u,243.036n,15.835u,334.104n,307.400u,287.567n,112.729u,276.246n,10.025u,0.552p,91.8116051246,99.3065235816,392474.0826,38.4560442318,0.0
16.970u,487.408n,25.652u,455.731n,22.462u,268.069n,82.937u,313.362n,135.550u,362.827n,21.567u,2.168p,78.5560096718,90.4454586436,84645.356592,38.8850795655,0.0
4.264u,200.124n,9.944u,199.847n,10.560u,447.977n,268.110u,256.848n,42.027u,278.615n,19.783u,0.595p,85.3091814116,92.4696038196,184324.768128,38.8611339679,0.0
17.547u,190.820n,23.498u,205.393n,14.863u,274.561n,61.791u,373.404n,42.065u,385.849n,24.610u,1.351p,87.5727454891,96.099920205,235532.114702,37.8397246923,0.0
21.341u,316.831n,6.044u,408.946n,9.656u,212.906n,287.851u,322.637n,58.847u,511.152n,22.943u,2.937p,-9.89677167325,179.977688198,,,
2.197u,341.817n,11.671u,322.702n,19.349u,351.869n,72.554u,345.945n,127.690u,222.243n,24.076u,1.267p,71.5892517326,94.2408811784,38076.0225078,39.0355360839,0.0
19.116u,269.055n,15.941u,325.675n,21.502u,389.208n,288.060u,412.884n,114.637u,385.564n,25.578u,2.237p,82.7272374815,92.6974908016,136955.725352,38.8618492842,0.0
4.276u,213.413n,22.330u,472.776n,16.643u,496.831n,274.947u,416.016n,85.672u,272.664n,24.123u,1.295p,84.7221192433,91.8800921997,172228.591275,38.8768390326,0.0
10.535u,395.319n,3.624u,337.004n,8.615u,196.138n,54.038u,439.016n,50.240u,244.710n,17.769u,1.348p,30.4634795017,179.853872774,130347.497642,38.5879558283,0.0
3.752u,212.809n,15.223u,324.502n,13.797u,337.365n,228.186u,255.596n,59.332u,295.313n,20.482u,0.750p,80.8108384035,91.6916720433,109798.318272,38.9354612402,0.0
7.949u,231.817n,8.855u,308.614n,17.038u,454.379n,297.631u,366.894n,30.849u,216.378n,15.932u,2.790p,64.7541469671,91.5854300883,17294.5246371,39.0583978391,0.0
7.323u,226.174n,7.777u,356.420n,6.822u,255.616n,197.123u,287.700n,135.112u,347.792n,20.252u,1.416p,85.4797499758,90.3476130717,187802.976557,38.8567079165,0.0
