W1,L1,W3,L3,W5,L5,W6,L6,W7,L7,IB,CC,Gain,Gain_Phase,UGBW,PM_db,PM_PH
12.889u,227.270n,24.104u,448.701n,9.718u,513.143n,46.766u,380.228n,21.626u,190.657n,13.047u,2.766p,73.4506193821,90.4384659978,47021.34094,38.8629503163,0.0
21.813u,432.514n,14.047u,431.444n,17.518u,198.961n,186.975u,481.627n,142.550u,253.763n,19.972u,2.202p,83.8398786337,90.5469256933,155381.344632,38.7696850391,0.0
10.117u,457.379n,10.953u,358.521n,5.758u,223.866n,174.969u,443.532n,25.687u,459.713n,25.861u,2.333p,68.6447383097,91.2643627824,27062.0397655,39.0194445164,0.0
22.923u,360.593n,3.183u,456.048n,16.302u,435.476n,143.964u,290.314n,106.570u,333.140n,18.280u,2.096p,69.4700043485,91.5594008393,29765.2090692,39.0513276137,0.0
7.160u,199.888n,21.849u,420.981n,4.301u,282.656n,128.137u,187.358n,18.003u,374.017n,20.366u,2.163p,73.9069874765,90.6082541627,49587.7130783,38.9874451081,0.0
5.386u,451.429n,13.146u,509.910n,6.755u,351.572n,101.873u,211.566n,68.374u,317.169n,14.647u,2.564p,75.0320801606,90.3280972917,56439.1296436,38.9883313863,0.0
5.766u,421.426n,17.991u,193.826n,8.699u,478.829n,305.456u,478.369n,97.528u,374.641n,18.570u,1.822p,75.3016908162,92.9955164723,58303.6658745,39.0074363202,0.0
11.249u,457.640n,12.568u,418.842n,7.041u,389.621n,278.061u,424.752n,67.787u,234.445n,29.723u,1.078p,87.7930787897,92.3459857051,245322.246503,38.8781871555,0.0
3.956u,398.556n,21.487u,276.142n,2.536u,467.986n,179.348u,484.398n,126.442u,441.830n,20.340u,0.959p,72.1197928791,104.982407347,41785.2603507,39.0495167848,0.0
18.621u,483.576n,4.101u,501.584n,11.163u,417.098n,174.477u,450.587n,93.487u,250.328n,17.564u,2.978p,72.9959955858,90.3923292881,44646.6058485,39.018425325,0.0
21.451u,283.360n,23.912u,248.168n,19.949u,401.915n,245.070u,397.244n,132.973u,310.392n,18.926u,2.745p,79.4461839168,94.6908082135,94124.6826129,38.9482789815,0.0
9.360u,452.660n,20.365u,264.686n,11.323u,198.435n,255.584u,212.811n,81.079u,440.046n,20.956u,2.950p,67.4270202122,92.440485401,23538.1608263,39.0520428189,0.0
20.600u,399.173n,24.585u,231.560n,23.992u,228.839n,88.920u,315.072n,50.505u,260.230n,10.143u,1.898p,81.0546392706,90.3323760472,112125.309327,38.3843834987,0.0
14.776u,449.965n,21.878u,365.739n,20.885u,215.187n,274.752u,513.282n,97.851u,347.188n,22.330u,0.655p,87.3821523134,102.755363695,238633.424633,38.4911179753,0.0
18.187u,394.643n,16.759u,298.486n,23.925u,336.392n,330.409u,295.854n,47.360u,203.165n,27.652u,0.560p,84.2396457805,97.7928357884,164391.520977,38.9153363186,0.0
4.218u,388.921n,16.840u,474.203n,3.693u,378.274n,214.404u,466.066n,16.330u,496.077n,24.319u,2.288p,69.8427750078,91.455548284,31066.4033222,39.0165196636,0.0
9.406u,182.760n,16.875u,491.523n,22.664u,397.302n,84.447u,237.105n,54.580u,312.821n,22.590u,1.419p,81.79187574,91.35424947,122734.243906,38.7352648163,0.0
5.044u,232.026n,19.434u,308.648n,5.861u,222.652n,252.534u,474.276n,140.386u,371.989n,11.160u,2.909p,70.3992253756,90.9924845925,33113.8046322,39.0315195993,0.0
12.742u,518.542n,23.549u,393.832n,8.502u,221.991n,109.924u,196.158n,88.183u,184.441n,11.608u,0.801p,82.7301663631,91.2428670626,136895.678325,38.882638123,0.0
17.607u,205.277n,7.701u,453.680n,22.408u,337.938n,286.358u,234.900n,132.687u,237.073n,26.943u,2.734p,69.9266971273,91.2796398031,31368.5244228,39.0655417867,0.0
19.043u,273.305n,27.378u,497.795n,22.899u,323.702n,311.759u,297.306n,99.422u,291.686n,26.162u,2.296p,77.9034911621,90.5816405057,78560.4882717,38.9934825296,0.0
10.753u,421.084n,7.215u,230.305n,4.246u,430.384n,165.630u,419.082n,56.437u,389.873n,26.446u,0.578p,91.5264847812,91.7700610084,375837.873549,38.5939673502,0.0
11.542u,388.383n,23.718u,506.847n,15.236u,411.254n,229.351u,241.637n,33.402u,316.421n,27.211u,0.680p,78.9578564783,101.490848958,90504.5983997,38.9829105122,0.0
14.888u,422.266n,11.021u,180.484n,19.308u,488.766n,198.622u,255.085n,147.335u,353.534n,29.572u,2.969p,79.757838677,90.2284164423,97247.7951116,38.9926573326,0.0
7.824u,470.431n,7.159u,490.916n,21.608u,436.665n,322.883u,380.812n,133.139u,507.977n,13.473u,2.735p,57.4459932582,91.2359709492,7454.91445396,39.0758684665,0.0
19.877u,182.274n,7.515u,442.747n,21.709u,465.558n,65.732u,183.623n,58.384u,301.044n,16.235u,1.946p,7.84136229713,179.979194567,62825.4879818,41.0118852357,0.0
19.714u,432.317n,4.206u,298.403n,9.020u,480.659n,79.487u,342.227n,106.055u,201.766n,28.260u,2.298p,76.4897981488,91.5303185431,66786.1332273,39.033732661,0.0
8.687u,514.468n,9.902u,449.067n,8.384u,281.228n,355.413u,230.027n,29.045u,253.922n,28.477u,2.227p,57.9373769746,93.0717728063,7898.34771794,39.080349413,0.0
14.130u,384.115n,14.861u,377.955n,8.810u,509.339n,266.121u,443.638n,56.418u,263.862n,25.405u,2.231p,82.4550739599,90.2614134914,132633.444282,38.9334773487,0.0
23.194u,307.902n,9.000u,222.421n,5.153u,499.523n,250.088u,194.016n,121.706u,193.516n,26.972u,2.350p,81.9771995107,90.419206894,125568.817809,39.0399361706,0.0
19.082u,308.452n,16.635u,307.997n,12.374u,492.096n,84.774u,513.787n,51.761u,381.650n,28.144u,1.899p,82.1369720928,92.9847159329,127839.536839,38.7205693339,0.0
22.545u,389.193n,20.077u,426.551n,9.635u,350.890n,49.549u,452.029n,18.935u,328.721n,26.070u,1.794p,85.4364525003,90.3996096271,183674.330355,37.9324275171,0.0
12.102u,516.816n,4.846u,426.245n,22.952u,439.163n,307.671u,231.300n,79.630u,395.870n,14.946u,1.033p,58.7112815548,91.7058957872,8626.06320697,39.079289395,0.0
16.259u,215.676n,15.530u,258.277n,8.994u,446.130n,315.761u,202.670n,30.690u,289.258n,18.190u,2.815p,72.6616877726,90.499948749,42967.4615174,39.0410229048,0.0
10.471u,509.494n,14.952u,460.036n,6.630u,261.956n,183.522u,300.970n,104.804u,202.538n,20.017u,2.585p,74.9377707419,90.3528293223,55838.2016576,39.0370725372,0.0
5.453u,279.815n,14.417u,300.114n,23.954u,480.785n,258.653u,445.770n,21.971u,264.575n,26.172u,0.752p,75.8564147136,103.203505862,63740.8999993,38.9627781388,0.0
9.498u,267.617n,4.396u,448.223n,19.682u,290.231n,226.954u,439.302n,22.586u,446.211n,24.553u,1.543p,35.9151960071,170.74894048,3886.37817144,39.1641530146,0.0
15.849u,296.561n,24.930u,213.494n,4.505u,231.581n,313.971u,409.734n,15.707u,248.779n,17.798u,1.455p,88.6340130706,90.1315670845,268113.918727,38.3508123084,0.0
18.857u,411.402n,19.602u,477.076n,13.069u,343.738n,319.988u,427.421n,104.333u,408.336n,16.710u,1.713p,80.9872777864,92.9390273142,112125.971201,38.8940008165,0.0
22.253u,344.929n,15.192u,458.539n,13.466u,251.214n,225.400u,244.711n,86.374u,508.804n,29.879u,1.891p,72.0443336715,93.2759982691,40083.537803,39.0436843594,0.0
17.430u,242.537n,19.151u,406.646n,19.561u,287.700n,279.175u,484.621n,138.110u,353.135n,10.376u,2.636p,80.9349559981,90.1696363359,111194.154032,38.7481789373,0.0
6.628u,433.950n,15.982u,196.985n,22.077u,491.118n,316.130u,437.827n,133.746u,412.501n,29.983u,2.048p,79.7660386634,90.3079189016,97331.0756263,38.9678262236,0.0
19.968u,311.171n,10.184u,232.350n,9.712u,317.153n,96.318u,461.777n,149.319u,434.273n,12.837u,2.279p,74.2212534556,94.6221156897,51575.829225,38.9740504431,0.0
13.900u,290.883n,11.377u,450.293n,12.653u,453.208n,131.544u,481.728n,49.921u,391.754n,12.520u,2.102p,80.0307303137,90.6399150876,100095.61805,38.6566404942,0.0
15.392u,194.093n,12.213u,412.901n,10.277u,365.640n,110.674u,518.019n,133.282u,316.354n,21.210u,1.239p,82.5999750742,91.050392474,134858.93323,38.910174451,0.0
11.697u,379.719n,13.237u,188.702n,20.895u,272.100n,157.832u,260.527n,17.658u,360.578n,29.039u,2.283p,63.119973878,90.7377377382,14324.6637145,39.0477889965,0.0
4.116u,373.740n,18.818u,370.035n,10.590u,476.798n,303.017u,318.696n,81.979u,341.658n,25.099u,2.544p,77.8009561125,90.9448379001,77636.8881151,39.0068587017,0.0
21.145u,286.152n,15.190u,278.194n,4.757u,326.774n,155.391u,363.803n,99.446u,429.588n,14.965u,1.373p,83.5416295699,93.5063854525,150510.91471,38.8461463619,0.0
19.249u,486.579n,10.176u,258.532n,15.618u,364.325n,296.157u,353.961n,81.200u,332.797n,11.758u,2.126p,73.2523289464,91.6285870885,46003.9280577,39.0011384525,0.0
21.082u,262.421n,26.321u,349.640n,22.836u,233.974n,126.170u,426.800n,30.217u,424.167n,25.854u,1.275p,80.4711473483,91.1343113913,105223.245865,38.5703440903,0.0
2.616u,347.534n,11.561u,498.757n,5.318u,345.085n,289.177u,257.421n,77.743u,204.245n,21.520u,1.316p,82.1013396132,90.3212615333,127373.938485,38.998659751,0.0
19.827u,411.825n,19.258u,196.924n,7.282u,278.052n,152.473u,416.191n,139.505u,235.889n,12.293u,0.876p,77.4274272608,100.656369517,75665.238904,38.9939398053,0.0
16.790u,217.590n,25.042u,293.920n,7.229u,488.308n,311.841u,495.131n,23.759u,209.964n,22.614u,2.827p,83.3020759393,90.9156659259,146149.495073,38.828063185,0.0
23.464u,433.387n,10.770u,187.534n,6.280u,436.995n,112.768u,270.253n,116.682u,308.988n,27.038u,1.503p,80.5840874759,95.0741080062,107368.073451,38.9937343831,0.0
11.937u,298.200n,24.425u,227.461n,9.707u,205.942n,80.943u,452.972n,144.324u,446.253n,17.886u,2.347p,70.8811260629,94.7181712492,35118.9571257,38.9948024383,0.0
4.533u,300.571n,16.128u,213.711n,2.232u,261.474n,344.576u,425.608n,30.750u,188.698n,17.809u,0.641p,86.499790974,94.1197711243,211713.774147,38.8353594866,0.0
10.365u,195.338n,24.481u,229.761n,12.600u,390.593n,343.912u,421.540n,33.546u,415.587n,10.554u,2.191p,75.9980161693,90.496772691,63047.3893776,38.881632132,0.0
2.888u,431.980n,3.063u,442.210n,8.031u,446.312n,327.248u,413.742n,90.269u,388.736n,12.463u,2.210p,56.9873043189,90.7400572543,7069.91348946,39.0788208656,0.0
11.283u,409.617n,23.294u,305.383n,14.093u,184.512n,172.655u,350.635n,59.406u,454.053n,26.090u,1.572p,77.6571461572,92.8016050025,76405.6190836,38.8658575565,0.0
10.698u,348.727n,22.314u,456.189n,21.514u,420.578n,281.697u,470.993n,133.188u,336.534n,19.915u,1.091p,87.1295530303,90.7588561803,226892.9724,38.7483229865,0.0
10.425u,262.840n,3.268u,507.832n,10.163u,318.221n,54.663u,328.742n,129.650u,473.442n,21.749u,1.850p,79.5479714275,90.7316910142,94857.2186552,38.8296328167,0.0
6.431u,336.640n,17.697u,332.769n,5.741u,305.932n,305.885u,195.723n,120.762u,378.891n,21.912u,2.267p,80.7504255713,90.6573592475,109032.557196,39.0109800655,0.0
5.155u,269.970n,8.498u,240.642n,14.351u,506.333n,64.055u,354.633n,19.656u,271.343n,22.200u,2.874p,79.9438178973,90.0157521254,98904.3433167,38.5160112083,0.0
22.994u,228.054n,6.445u,361.906n,19.161u,190.297n,337.675u,429.504n,19.556u,464.163n,14.969u,1.496p,50.9302776289,91.2071140924,3520.9662896,39.0754209806,0.0
2.481u,382.559n,6.442u,469.624n,3.425u,500.758n,306.770u,224.701n,134.846u,243.283n,12.651u,1.534p,74.9395242439,90.4852591049,55851.7258014,39.0623365194,0.0
21.359u,364.427n,25.959u,304.182n,17.145u,259.753n,353.449u,390.072n,31.243u,473.426n,20.753u,1.855p,68.4716850076,90.887859946,26526.2099961,39.0299678708,0.0
18.121u,512.231n,5.238u,500.621n,11.198u,466.405n,70.752u,225.622n,112.177u,269.587n,18.221u,2.635p,53.8701327959,176.994284068,94156.3453033,38.9692623436,0.0
20.542u,485.991n,21.551u,180.636n,14.734u,476.793n,332.865u,281.494n,36.705u,430.186n,14.619u,0.593p,85.998445861,92.0647767474,199173.278774,38.696438387,0.0
21.012u,475.545n,6.112u,330.962n,22.945u,217.462n,146.823u,420.801n,79.505u,448.861n,11.022u,1.981p,63.3882144284,91.3126320385,14774.8485762,39.0331479716,0.0
4.040u,235.822n,16.377u,458.833n,12.250u,491.401n,40.502u,349.937n,25.214u,330.942n,11.081u,2.283p,73.7544733861,90.3455984496,48640.5625966,38.7325514089,0.0
4.666u,455.442n,15.984u,246.232n,23.016u,194.038n,317.152u,216.383n,94.973u,420.896n,16.562u,2.837p,55.1678805877,90.5877386657,5733.86025862,39.0769832379,0.0
3.129u,499.800n,27.498u,241.303n,23.399u,452.753n,257.800u,514.264n,54.548u,349.052n,15.434u,1.767p,75.4037071416,93.4762377219,58987.2569456,38.8933746245,0.0
2.374u,486.612n,12.484u,454.035n,6.767u,289.059n,204.742u,246.513n,111.721u,327.785n,13.069u,0.701p,82.3683388272,90.4942626679,131292.982738,38.9033719987,0.0
5.869u,280.877n,15.160u,514.020n,4.431u,461.679n,234.059u,325.735n,58.909u,396.216n,17.845u,0.736p,89.5970430335,90.4748924228,301351.973103,38.7367351425,0.0
7.444u,477.209n,18.078u,227.736n,23.255u,500.414n,75.901u,337.201n,15.431u,388.803n,26.892u,2.214p,73.7411325228,90.5194254012,48589.2428909,38.7742728994,0.0
3.081u,378.117n,6.936u,299.811n,7.358u,210.616n,219.560u,233.664n,53.353u,331.686n,20.905u,1.209p,65.3592549978,91.3262548011,18540.1312732,39.0671610656,0.0
7.695u,437.465n,13.219u,486.062n,14.721u,354.519n,235.764u,266.635n,77.859u,218.772n,25.625u,1.854p,74.1370780817,91.1936963452,50930.9621736,39.0359057795,0.0
15.098u,183.211n,24.119u,497.381n,3.003u,365.090n,214.962u,338.926n,145.778u,332.616n,11.434u,2.698p,74.0241424423,90.4674596184,50261.4933274,39.0419910592,0.0
5.160u,318.825n,24.275u,406.374n,2.639u,262.238n,282.999u,439.011n,108.966u,232.138n,20.918u,2.173p,71.0595350024,95.3340760075,35885.2310831,39.0616231649,0.0
10.433u,450.750n,5.088u,231.472n,4.882u,426.760n,153.692u,252.281n,131.563u,510.687n,23.179u,0.638p,90.6621314727,90.9704804226,340925.210355,38.7981266653,0.0
16.413u,233.579n,21.083u,237.238n,3.961u,272.155n,290.187u,390.397n,23.579u,450.415n,14.103u,1.306p,86.6328697369,90.5259532256,213529.151314,38.4952865052,0.0
17.141u,465.497n,22.048u,486.348n,15.120u,210.610n,89.020u,380.499n,149.380u,349.838n,28.440u,1.762p,80.2287788484,92.8889934339,102759.531032,38.906135554,0.0
22.447u,435.715n,20.691u,427.852n,8.902u,284.680n,96.029u,359.041n,82.079u,499.059n,19.907u,2.602p,80.0358011107,90.4850187059,100311.958692,38.8086093619,0.0
21.629u,379.705n,15.125u,327.157n,7.354u,328.709n,151.981u,261.129n,143.777u,204.208n,11.154u,1.455p,77.73366619,91.9282136565,77081.1151712,39.0160998756,0.0
8.858u,319.118n,9.955u,487.976n,10.087u,424.076n,359.381u,324.562n,55.766u,485.440n,11.750u,2.473p,59.7364326801,90.6686833092,9702.86872071,39.0735635776,0.0
10.009u,272.848n,17.229u,477.138n,19.531u,454.997n,234.677u,281.845n,136.669u,348.431n,13.348u,0.582p,89.3584672079,94.699347928,293754.752845,38.617954773,0.0
21.667u,419.728n,10.888u,439.622n,12.928u,282.437n,339.901u,243.865n,19.746u,346.520n,11.326u,2.704p,49.0857732749,91.7223378831,2848.01315739,39.0802488143,0.0
7.756u,285.588n,20.744u,304.328n,17.163u,183.165n,242.767u,342.323n,67.764u,256.637n,17.837u,0.728p,82.8575856857,91.6991816713,138831.046287,38.7757336782,0.0
17.638u,336.065n,25.469u,227.568n,19.078u,276.380n,51.326u,271.965n,82.588u,505.385n,12.321u,2.974p,74.6588080063,90.4137156911,53996.7842494,38.7617223086,0.0
4.962u,359.361n,19.812u,383.365n,7.324u,334.828n,312.685u,514.222n,18.617u,487.952n,29.142u,2.235p,66.2753550988,90.6844319214,20598.9246158,39.04489148,0.0
4.522u,305.998n,22.659u,328.889n,10.280u,511.214n,177.350u,351.930n,26.104u,288.598n,25.016u,1.495p,83.6460221909,90.7891312272,151926.6221,38.7500070256,0.0
18.461u,183.154n,22.396u,511.807n,8.701u,261.480n,253.016u,341.658n,112.142u,304.206n,21.307u,0.581p,98.2165299526,93.0173882475,805701.953466,38.1683270124,0.0
4.318u,488.910n,21.583u,344.020n,18.478u,327.651n,218.685u,355.568n,130.007u,499.369n,20.742u,1.124p,82.2802558918,90.3920950645,129866.760514,38.7906892204,0.0
13.621u,186.346n,23.120u,443.234n,17.759u,322.700n,351.723u,320.695n,33.427u,424.838n,13.372u,1.279p,67.7275082102,96.9567385659,24523.6932156,39.0444970215,0.0
18.895u,271.581n,21.549u,313.461n,17.831u,287.748n,340.442u,243.128n,98.591u,489.642n,13.817u,0.948p,78.2074111147,91.5933468936,81372.3940252,38.9780645541,0.0
16.199u,203.301n,11.822u,458.409n,9.154u,370.051n,56.535u,241.579n,130.969u,507.305n,23.763u,0.636p,92.9119312428,93.8535161059,439800.022274,38.3570903104,0.0
12.147u,410.468n,9.347u,229.158n,22.783u,244.062n,193.678u,483.267n,55.755u,218.502n,17.998u,2.358p,73.3509520507,91.6527650878,46520.0272898,38.9383548874,0.0
9.066u,321.104n,27.912u,473.444n,6.416u,252.089n,182.855u,227.658n,88.347u,297.606n,16.105u,1.806p,80.9096011145,91.6158368472,111065.394758,38.9442235028,0.0
12.414u,192.175n,12.194u,488.634n,5.197u,366.608n,232.143u,365.318n,140.670u,335.076n,18.154u,0.944p,88.5180103939,91.6921539871,266605.709687,38.8816022994,0.0
7.558u,274.830n,7.620u,375.290n,4.862u,475.754n,184.472u,298.065n,106.501u,379.171n,17.867u,1.741p,81.0618888613,90.4552588393,113004.064817,38.9874110824,0.0
14.910u,493.964n,25.919u,265.450n,9.529u,325.848n,115.804u,206.424n,33.607u,396.659n,29.292u,1.860p,86.8363385093,90.0337438333,218679.569214,38.5247854735,0.0
9.593u,474.419n,16.523u,469.532n,4.008u,198.863n,136.448u,246.083n,126.028u,369.260n,19.277u,0.465p,90.2818756492,95.691123576,327711.833438,38.7386825768,0.0
8.274u,359.398n,9.419u,342.137n,16.627u,311.727n,140.436u,191.005n,77.530u,182.981n,24.561u,1.253p,79.8359016322,92.1052872451,98183.8226421,38.9705236187,0.0
17.154u,444.563n,23.427u,447.692n,14.514u,461.035n,51.695u,433.188n,86.846u,354.161n,22.117u,2.460p,71.5680924513,91.3707734182,37888.5258972,38.9900097386,0.0
11.889u,461.884n,11.617u,218.609n,10.665u,250.878n,53.486u,419.106n,110.355u,272.541n,10.322u,1.136p,71.0947371442,92.5232197576,35905.5858767,38.9916457463,0.0
7.117u,439.926n,6.130u,441.376n,22.974u,189.242n,79.431u,471.051n,69.198u,267.471n,27.170u,2.284p,68.0938046662,91.8345555743,25405.1335048,38.990918225,0.0
6.253u,296.907n,17.623u,191.346n,11.522u,458.839n,228.067u,295.683n,28.848u,483.563n,17.273u,1.573p,75.4009379155,94.4711208581,59055.7583033,38.9400963993,0.0
3.255u,203.987n,11.619u,222.793n,15.487u,446.417n,165.792u,325.631n,55.216u,319.088n,22.426u,2.385p,80.3364422625,90.2621143182,103879.021445,38.8536459481,0.0
3.262u,182.147n,20.772u,315.171n,22.921u,201.458n,322.400u,251.311n,26.600u,501.562n,10.192u,1.487p,49.9135836219,93.0317018434,3135.74699696,39.0779917898,0.0
12.384u,183.335n,14.144u,351.135n,12.147u,224.406n,65.325u,406.735n,85.006u,317.928n,23.919u,0.597p,91.4335566946,91.8650322732,368368.365399,38.1278848367,0.0
19.132u,221.817n,6.872u,363.956n,6.733u,206.660n,40.803u,268.811n,14.182u,424.968n,21.678u,1.716p,73.8133134335,90.9168343224,49016.93098,38.8174254981,0.0
9.266u,505.265n,21.182u,181.690n,8.986u,477.117n,222.609u,199.073n,137.952u,344.949n,18.229u,2.001p,75.8081763442,91.0785945092,61727.3123465,39.0310648656,0.0
8.201u,401.886n,9.912u,353.678n,2.309u,404.209n,308.613u,462.645n,57.749u,344.971n,14.911u,1.481p,80.3739857601,90.9313216023,104401.409417,38.9779468655,0.0
13.166u,490.439n,8.616u,357.200n,4.549u,285.042n,201.774u,368.255n,107.408u,306.404n,19.043u,2.978p,75.7003650397,90.5335467881,60963.9820627,39.0269074823,0.0
21.449u,304.785n,17.353u,447.282n,18.058u,364.854n,129.510u,464.336n,29.273u,256.907n,14.895u,2.641p,76.8873438916,91.3586110278,69798.9795659,38.7442800848,0.0
23.055u,508.300n,4.825u,394.634n,8.808u,232.198n,102.406u,401.250n,121.353u,217.179n,16.364u,1.645p,81.6526766414,90.5396819318,120922.503018,38.9147819913,0.0
10.100u,295.710n,19.392u,482.991n,2.736u,241.259n,57.007u,472.539n,129.854u,267.061n,22.181u,1.251p,68.6741294835,91.3315566355,27156.6000862,39.0615292857,0.0
15.208u,197.367n,18.194u,458.119n,14.266u,513.756n,165.272u,340.416n,108.750u,405.736n,15.019u,0.709p,92.7948645601,90.9567109344,432728.392228,38.3298396433,0.0
23.036u,339.183n,3.784u,439.574n,5.314u,362.877n,131.564u,485.466n,66.334u,264.604n,13.491u,1.103p,89.659902049,90.7965621472,302691.455726,38.521472355,0.0
21.954u,395.467n,25.291u,444.154n,21.852u,250.851n,99.905u,401.103n,130.391u,221.844n,21.778u,2.180p,76.9638842061,92.4417800794,70555.5981827,38.9657698239,0.0
3.527u,443.908n,6.624u,246.210n,19.945u,456.350n,110.679u,294.541n,109.163u,256.602n,10.981u,0.818p,79.7762753208,90.8930802742,97418.2328894,38.8911871377,0.0
21.100u,450.455n,9.607u,246.996n,20.425u,342.246n,34.946u,253.560n,31.550u,210.837n,11.472u,1.654p,81.5370037505,90.4430777338,118335.227434,38.2996336439,0.0
22.400u,266.726n,14.259u,359.317n,4.638u,399.645n,67.178u,351.315n,144.893u,335.246n,23.674u,0.555p,84.5843135965,95.4211172556,170238.648852,38.945504374,0.0
7.120u,489.754n,26.038u,235.132n,2.521u,476.092n,52.576u,366.322n,60.479u,451.518n,22.690u,2.474p,63.4619830787,97.3240019322,15021.1688811,39.0550158734,0.0
8.771u,275.066n,11.472u,450.860n,18.848u,459.373n,258.704u,339.349n,131.276u,454.582n,28.213u,0.611p,85.5682435265,92.1722908254,189895.284989,38.8949743885,0.0
7.195u,453.706n,22.073u,519.793n,6.793u,455.158n,268.646u,501.871n,93.515u,354.825n,19.583u,0.836p,83.7735611959,92.3265791504,154473.753328,38.9104218379,0.0
15.495u,373.402n,7.819u,472.910n,9.084u,252.212n,201.469u,294.101n,133.627u,188.658n,18.670u,1.126p,88.7100081929,91.2344881076,272307.718207,38.7852105888,0.0
6.333u,260.827n,4.677u,439.828n,17.624u,412.578n,273.799u,194.856n,57.561u,407.342n,29.702u,2.293p,52.5203433493,90.810984042,4227.81051734,39.0823719024,0.0
6.875u,357.779n,6.399u,500.524n,17.411u,362.286n,178.565u,278.056n,42.918u,503.637n,22.557u,1.580p,56.5724637728,91.595211011,6742.41686137,39.0762349465,0.0
16.496u,434.632n,18.821u,406.369n,16.284u,344.183n,305.410u,293.392n,140.379u,307.283n,23.651u,1.260p,86.5030838973,91.4082709226,211347.63103,38.8568578061,0.0
3.179u,295.265n,24.396u,436.897n,2.378u,390.352n,265.431u,348.820n,128.761u,471.128n,29.419u,1.056p,79.9266736823,92.9698270381,99298.5149729,39.0254043226,0.0
18.217u,398.864n,25.936u,285.492n,8.076u,182.188n,72.150u,494.844n,130.294u,457.284n,13.591u,2.490p,69.6259631824,91.523786689,30298.7370622,38.9851687179,0.0
21.594u,353.835n,12.827u,477.302n,15.419u,351.612n,270.955u,456.581n,139.785u,493.093n,15.502u,0.949p,84.2641143425,96.2601202529,164169.759119,38.7897013957,0.0
7.491u,425.271n,4.647u,305.153n,6.057u,417.378n,148.614u,319.666n,31.629u,468.029n,23.772u,2.488p,65.7903559759,91.4261212007,19482.9808313,39.0549166608,0.0
18.983u,231.632n,18.015u,261.113n,11.116u,371.797n,92.589u,224.694n,27.562u,181.258n,24.393u,2.278p,85.3395634,92.6218434207,184680.551143,38.6747160607,0.0
7.518u,280.891n,17.932u,471.663n,22.420u,372.983n,175.806u,339.254n,72.472u,321.941n,13.976u,2.240p,72.1152655482,92.6989605476,40385.8428692,38.9776134198,0.0
6.432u,500.839n,14.977u,471.149n,16.177u,216.300n,200.458u,202.159n,28.607u,206.945n,21.979u,1.333p,60.7512398275,95.0464899661,10946.2144885,39.0727214103,0.0
10.228u,512.795n,13.397u,460.592n,6.997u,201.509n,263.725u,213.435n,70.192u,388.593n,29.638u,2.636p,64.7131022889,90.6011290021,17208.168696,39.0720016463,0.0
2.183u,448.381n,16.121u,370.480n,5.559u,253.418n,162.981u,499.103n,21.117u,467.259n,27.729u,1.636p,70.4021216349,94.1664276409,33205.5319214,38.9804721514,0.0
11.330u,398.789n,23.998u,242.310n,5.954u,473.404n,276.304u,460.658n,66.179u,417.303n,23.422u,0.922p,86.3613637301,90.9474132016,207767.628427,38.7859457437,0.0
21.885u,238.163n,21.157u,187.014n,2.640u,289.991n,207.412u,344.023n,84.463u,386.408n,27.490u,0.952p,86.7836299432,128.213187711,277625.080122,38.8055319165,0.0
10.844u,494.901n,22.049u,400.774n,13.930u,485.015n,57.002u,196.052n,31.209u,513.124n,13.239u,2.019p,76.4657364959,90.4030633553,66437.4059237,38.7020300271,0.0
11.080u,449.473n,5.887u,401.552n,4.513u,422.532n,310.028u,429.040n,23.212u,296.666n,18.968u,2.809p,64.9684710276,90.5441541758,17720.3082345,39.0652002202,0.0
8.279u,304.409n,13.910u,303.365n,5.090u,284.732n,77.545u,396.970n,43.567u,431.973n,17.979u,1.540p,80.5314155927,90.6710830658,106117.400772,38.71674241,0.0
14.129u,445.556n,6.907u,265.721n,4.750u,454.938n,187.712u,459.635n,96.250u,262.071n,29.996u,1.648p,79.6486275641,93.6369063779,96234.5522202,39.0202930598,0.0
19.854u,278.779n,18.201u,368.869n,14.317u,253.357n,286.647u,258.561n,134.775u,218.440n,23.733u,1.948p,87.9591617281,91.1813324465,249827.563265,38.8227977846,0.0
19.483u,438.363n,8.567u,398.653n,19.964u,383.154n,73.818u,289.993n,60.656u,489.086n,23.080u,2.602p,71.971740437,91.4400542897,39687.6678636,38.9536207822,0.0
13.940u,276.072n,6.157u,409.937n,4.044u,188.487n,294.452u,445.409n,75.302u,446.132n,13.392u,1.712p,72.6488404839,90.8537610494,42905.5264856,39.026677824,0.0
19.224u,211.554n,9.850u,185.959n,21.493u,517.435n,86.744u,406.360n,88.583u,315.333n,21.426u,0.824p,88.6893792237,99.9692248468,274671.02655,38.4844093123,0.0
20.949u,500.057n,9.123u,218.104n,2.858u,327.917n,86.823u,474.512n,89.815u,497.501n,25.971u,2.636p,73.2133738536,90.5139931465,45779.6250194,39.0146821696,0.0
10.050u,249.087n,20.065u,424.544n,4.803u,349.259n,169.601u,371.197n,120.251u,469.880n,16.339u,2.274p,77.016777201,92.7041633305,71005.2003797,38.9889851622,0.0
17.538u,435.748n,14.260u,382.959n,5.261u,218.711n,194.458u,398.854n,62.418u,376.301n,12.805u,0.966p,89.3913609629,90.235572641,292529.173464,38.3502281423,0.0
